"Date" "0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23"
"1" "08-FEB-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA
"2" "07-FEB-2023" 0 0 0 0 0 0 0 0 3 7 3 3 0 3 5 0 0 0 0 0 0 0 0 0
"3" "06-FEB-2023" 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"4" "05-FEB-2023" 0 0 1 2 13 2 3 5 3 0 0 0 4 2 2 8 4 1 0 0 0 0 0 0
"5" "04-FEB-2023" 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1
"6" "03-FEB-2023" 0 0 0 0 0 0 0 0 0 0 4 1 0 0 0 2 2 0 0 0 0 1 0 1
"7" "02-FEB-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" "01-FEB-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" "31-JAN-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" "30-JAN-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" "29-JAN-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" "28-JAN-2023" 1 0 0 0 0 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" "27-JAN-2023" 0 1 0 1 1 2 4 0 0 0 1 1 0 0 0 0 1 0 0 0 3 0 0 0
"14" "26-JAN-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" "25-JAN-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" "24-JAN-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"17" "23-JAN-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"18" "22-JAN-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
"19" "21-JAN-2023" 0 0 0 0 0 0 0 0 0 0 2 7 3 0 0 0 0 0 0 0 0 0 0 0
"20" "20-JAN-2023" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"21" "19-JAN-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"22" "18-JAN-2023" 0 0 0 1 4 2 0 1 1 4 5 7 9 2 1 0 0 0 0 0 0 0 0 0
"23" "17-JAN-2023" 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
"24" "16-JAN-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 3
"25" "15-JAN-2023" 0 0 0 4 1 7 5 5 8 4 3 1 0 1 8 5 0 0 0 0 0 0 0 0
"26" "14-JAN-2023" 0 2 0 0 0 0 0 0 0 0 3 5 6 1 0 0 0 0 0 0 0 0 0 1
"27" "13-JAN-2023" 0 0 0 1 0 1 1 2 2 3 3 3 2 2 0 0 1 0 1 2 5 0 1 0
"28" "12-JAN-2023" 7 7 1 0 1 0 0 0 2 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"29" "11-JAN-2023" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 5 14 7
"30" "10-JAN-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 2 1
"31" "09-JAN-2023" 0 0 0 1 0 0 8 1 1 0 0 1 7 4 1 1 0 1 0 1 0 0 0 0
"32" "08-JAN-2023" 12 1 0 0 0 2 3 1 1 8 7 0 0 6 16 2 6 2 0 1 1 0 0 0
"33" "07-JAN-2023" 0 0 1 0 0 0 0 2 1 2 1 0 1 0 3 2 0 0 0 0 0 0 0 6
"34" "06-JAN-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
"35" "05-JAN-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0
"36" "04-JAN-2023" 1 0 0 0 0 0 0 0 0 0 0 1 0 8 11 2 0 0 0 0 0 0 1 0
"37" "03-JAN-2023" 0 4 3 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 3 0
"38" "02-JAN-2023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 5
